,Gata3,Pax5,Bcl6,Prdm1,Foxp3,Stat4,Il2ra,Ccr4,Il6st,Cxcr4,Il4ra,Cxcr5,Il2,Il4,Ccl5,Il15,Cxcl13,Lgals9
Th2,2.7427832829903935e-05,7.089556542714513e-05,1.3493239582094877e-05,2.6716351098721358e-05,3.814512381081712e-05,4.323951650400818e-05,6.333332218375604e-05,2.8868536485300996e-05,7.441799863191076e-05,3.0671973471225625e-05,4.301186517548338e-05,3.6483372886753385e-05,6.193720487768983e-10,3.168068321354559e-06,6.0556755416341074e-05,4.158861103988756e-06,1.894438112815983e-05,2.8154183603221892e-05
Tfh,2.550860294252656e-05,5.165630068369696e-05,2.8142582688132465e-05,1.0606147474749943e-05,2.0206837806389713e-05,7.420560755272202e-05,3.485043566111675e-05,4.2492748023537025e-05,0.00010236119119630008,2.0268033015513785e-05,4.727983016937447e-05,4.922761000050981e-05,5.1352940472904585e-06,9.7979158997864e-06,6.623268196952183e-05,2.5421099262133155e-06,2.2193913427871317e-05,2.451258967084858e-05
Treg,1.8878579908428082e-05,5.0673467160710134e-05,1.927834387671421e-05,1.0140716508484866e-05,6.735159699676821e-05,8.20751651937128e-05,4.081991484852363e-05,2.6918349042619066e-05,0.00011814138180960675,1.7283377435530845e-05,6.010531301032291e-05,2.3661587304064833e-05,8.02148298003063e-07,5.2052945029692095e-06,9.38751147143876e-05,3.362167797237817e-06,6.660757119108399e-06,3.4294225965995895e-05
Resting T,1.4208748321890358e-05,8.63156392332991e-05,1.848280824306336e-05,4.9301040457684814e-06,1.1627455136724442e-05,6.149570489948037e-05,1.6379898421589484e-05,9.979176376107457e-06,9.858859184117896e-05,1.9186426235153433e-05,7.39058472890938e-05,3.337150326502024e-05,1.2237714410568267e-06,3.4230330997925687e-06,7.825344343825202e-05,4.050845705576193e-06,9.334813136369997e-06,3.254173245290742e-05
DC,1.2923367140183763e-05,7.146522140350646e-05,1.6275381630960858e-05,1.148688167397572e-05,1.4208498754597745e-05,6.678664418724414e-05,2.2978461027040744e-05,1.0421332550280374e-05,0.00013778992326289998,2.5466272159777475e-05,6.781709833808205e-05,2.904413102642589e-05,9.666779372817948e-07,2.073046931980187e-06,0.00012139820054903732,1.337415478507776e-05,3.671106123335437e-05,2.8947230439717942e-05
gd T,9.439232261958156e-06,5.8735880418408594e-05,1.7061463491273043e-05,7.21371089698466e-06,7.350972328649524e-06,5.66991677777277e-05,1.1528725307729188e-05,4.789121811739602e-06,0.0002104734452756043,2.5414347031259317e-05,4.8605706706819956e-05,3.1443011218267265e-05,4.985545893350961e-10,3.4466016175412867e-06,5.649509968045783e-05,2.17823711682544e-05,1.4288932319794178e-05,2.637452686525649e-05
CD8+ T,7.87805752520693e-06,7.161336766343947e-05,1.667556659072395e-05,6.281722953431729e-06,1.1794420297310057e-05,8.413103740170586e-05,2.0548707907763832e-05,1.2125134487989718e-05,9.999491974292339e-05,2.1081447122570512e-05,6.455659844472272e-05,2.8230081805007212e-05,5.276887606689582e-07,3.840141060741073e-06,0.00012053659593919191,5.685237752142774e-06,7.79270872663611e-06,3.183287973001305e-05
NK,5.696107451240901e-06,7.724929725621649e-05,2.2118979837074803e-05,6.253591922886785e-06,6.144849354061266e-06,8.426453930695987e-05,1.0113272665274919e-05,6.753498834354746e-07,0.0001498466138650885,1.1113817391476267e-05,4.542260299748252e-05,3.1536410713771957e-05,7.724277793562016e-10,1.3033746602513355e-06,0.00016463753623265044,1.596537461345679e-05,2.4907112408388306e-05,3.927254288233991e-05
B,5.216308140007338e-06,0.0002033081401516472,3.125231962277047e-05,3.5088102891134488e-06,5.1542426832549625e-06,5.0710949001519547e-05,5.669014558527711e-06,4.227533177904909e-06,5.2372762345877844e-05,3.112960992143426e-05,8.024243341121296e-05,7.32133999670726e-05,3.10847518094479e-07,3.545119703354569e-06,2.052206469473914e-05,1.621949251400184e-06,6.58985466663538e-05,3.491438430809325e-05
