names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_max
Mavs,-0.9182106,-1.4532789,0.3585086087339088,0.7670183176860602,-0.014826402,-0.5497851,0.9881706760520731,1.0,-0.93303704,-0.7809421,-2.3709202,0.4348365727940203,0.9725748259814789,-0.2869626,-1.1019667,0.7741409661386203,1.0,-1.0679047,0.3585086087339088
Crmp1,,,,,,,,,,-0.8837496,-23.06231,0.37683138654162573,0.9289795320834195,-0.71618015,-2.5859892,0.4738801274387159,1.0,-1.5999298,0.37683138654162573
Tm7sf3,-0.86555755,-2.2395134,0.3867328579042859,0.7968127822059093,-0.45807406,-0.8541258,0.6468992426231812,1.0,-1.3236316,-0.48701787,-2.5744035,0.6262456632734115,1.0,-0.34337404,-2.4440775,0.7313170886846976,1.0,-0.8303919,0.3867328579042859
Cep295,-0.8609359,-0.689697,0.38927332881869947,0.7989070368825149,0.35892248,-0.5948979,0.71965307861015,1.0,-0.50201344,-0.7677616,-1.2484124,0.4426288298058977,0.9725748259814789,0.01471603,-1.3773551,0.9882587305139138,1.0,-0.75304556,0.38927332881869947
Vps53,-0.82808965,-1.4215713,0.4076197338323202,0.8121688858655268,-0.23907574,-1.193621,0.8110468575986668,1.0,-1.0671654,-0.7829191,-1.6666945,0.4336746037099062,0.9725748259814789,-0.43105704,-1.4494259,0.6664268887612348,1.0,-1.2139761,0.4076197338323202
Itgb5,-0.54006565,-1.0153849,0.589151765532998,0.9574847433700643,-0.3975329,-0.46113586,0.6909745253869887,1.0,-0.9375986,-0.6781345,-1.811982,0.4976864192234961,1.0,-0.8167397,-2.3783727,0.4140772130952326,1.0,-1.4948742,0.4140772130952326
Aldh7a1,-0.41330206,-0.7671227,0.6793853158045001,1.0,-0.6750646,-1.50084,0.49963470966942436,1.0,-1.0883667,-0.68472475,-2.641575,0.4935176430056122,1.0,-0.81306064,-3.7485228,0.4161832761213341,1.0,-1.4977853,0.4161832761213341
Zfp143,,,,,,,,,,-0.7967586,-3.5076976,0.4255912385100845,0.9725748259814789,-0.090748854,-0.47151247,0.927692151872006,1.0,-0.88750744,0.4255912385100845
Yeats2,-0.7965638,-0.6837203,0.4257044039587943,0.8233916990647245,-0.22950035,-1.2408757,0.8184800490718167,1.0,-1.0260642,-0.78753227,-3.1090477,0.43097033465297563,0.9725748259814789,-0.38752213,-2.0235844,0.6983697064788714,1.0,-1.1750544,0.4257044039587943
Ccl17,,,,,,,,,,-0.79214543,-2.8280642,0.42827587239659126,0.9725748259814789,-0.36606124,-0.2560335,0.7143193712549223,1.0,-1.1582067,0.42827587239659126
Cdk2,,,,,,,,,,-0.78555524,-23.353416,0.43212810754849107,0.9725748259814789,0.3918143,-0.1066247,0.6951954258168748,1.0,-0.39374095,0.43212810754849107
Ankrd49,-0.7815437,-0.9292584,0.43448281753180173,0.8305019348665694,-0.3996951,-1.0537921,0.6893811086848658,1.0,-1.1812388,-0.09424026,-2.552129,0.9249182998438803,1.0,0.05947729,-1.8728218,0.9525719545022078,1.0,-0.034762975,0.43448281753180173
Pgm3,,,,,,,,,,-0.7730338,-1.5615699,0.43950238560407806,0.9725748259814789,-0.47459197,-1.6375803,0.6350778286423429,1.0,-1.2476258,0.43950238560407806
Hspg2,-0.05677952,-0.13187763,0.9547208305469058,1.0,-0.50579655,-1.1745325,0.6129994943746653,1.0,-0.56257606,-0.7710567,-1.7704669,0.4406733138906873,0.9725748259814789,-0.73886734,-1.8623079,0.45998755104673117,1.0,-1.509924,0.4406733138906873
Lamc1,-0.7094138,-0.14723366,0.4780676948167457,0.8690627802631512,-0.44479206,-1.0526398,0.656470030365716,1.0,-1.1542059,-0.7558992,-0.43047816,0.4497096381507427,0.9725748259814789,-0.65486336,-1.4316096,0.5125557435072172,1.0,-1.4107625,0.4497096381507427
Loxl2,-0.7500178,-3.713955,0.4532439794518237,0.8464821363813407,-0.5118198,-1.8142973,0.6087771621446127,1.0,-1.2618376,-0.490972,-23.267683,0.6234462425812151,1.0,-0.22687213,-2.1803184,0.8205231726092803,1.0,-0.7178441,0.4532439794518237
Slx4,-0.72988087,-0.008677749,0.4654629965784005,0.8599955265504763,-0.3411617,-0.5385238,0.7329818616867256,1.0,-1.0710425,-0.67945254,-1.8413187,0.49685116707553545,1.0,-0.53406924,-1.4310318,0.5932936154216863,1.0,-1.2135217,0.4654629965784005
Tmem191c,-0.70182127,-1.9889088,0.4827906503081626,0.8724039419744424,-0.5447158,-1.0180054,0.5859489715623823,1.0,-1.2465371,-0.490972,-3.5170417,0.6234462425812151,1.0,-0.32436582,-1.7380152,0.7456610848087686,1.0,-0.81533784,0.4827906503081626
